symbol_nse,symbol_bse,company_name,isin,nse_series,bse_scrip_code,status
,ADINATH,Adinath Textiles Ltd.,INE207C01019,,514113,active
,ADINATHBI,Adinath Bio-Labs Ltd.,INE129D01039,,590088,delisted
,ADISHAKTI,Adishakti Loha and Ispat Limited,INE0CWK01019,,543377,active
,ADITRI,ADITRI INDUSTRIES LIMITED,INE636N01016,,534707,delisted
,ADITYA,Aditya Ispat Ltd.,INE570B01012,,513513,active
,ADITYAIN,Aditya International Ltd.,INE908B01014,,531588,delisted
,ADITYAINF,Aditya Info-soft Limited.,INE524F01010,,530693,delisted
,ADITYASP,Aditya Spinners Ltd.,INE122D01026,,521141,active
,ADJIA,Adjia Technologies Limited,INE0G0V01018,,543269,suspended
ADL,ADL,Archidply Decor Limited,INE0CHO01012,EQ,543231,active
,ADLINE,ADLINE CHEM LAB LIMITED,INE276T01018,,524604,active
,ADMANUM,AD-Manum Finance Ltd,INE556D01017,,511359,active
ADOR,ADOR,Ador Welding Ltd.,INE045A01017,EQ,517041,active
,ADORFO,Ador Fontech Ltd,INE853A01022,,530431,delisted
,ADORTECH,Ador Technopak Ltd,INE708D01014,,516076,delisted
,ADRO-RE,Adroit Infotech Limited,INE737B20017,,750826,suspended
ADROITINFO,ADROITINFO,Adroit Infotech Limited,INE737B01033,EQ,532172,active
,ADROITPP,Adroit Infotech Limited,IN9737B01031,,890196,delisted
ADSL,ADSL,Allied Digital Services Limited,INE102I01027,EQ,532875,active
,ADTECH,ADTECH SYSTEMS LIMITED,INE257C01014,,544185,active
,ADTYFRG,Aditya Forge Ltd,INE281H01013,,522150,suspended
,ADVAIT,ADVAIT ENERGY TRANSITIONS LIMITED,INE0ALI01010,,543230,active
ADVANCE,ADVANCE,Advance Agrolife Limited,INE1B0W01010,EQ,544562,active
ADVANIHOTR,ADVANIHOTR,Advani Hotels & Resorts (India) Ltd.,INE199C01026,EQ,523269,active
,ADVANTA,ADVANTA LIMITED,INE517H01028,,532840,delisted
,ADVCAP-RE,Advik Capital Limited,INE178T20032,,750906,suspended
,ADVENT,Advent Computer Services ltd.,INE101C01022,,531429,delisted
ADVENTHTL,ADVENTHTL,Advent Hotels International Limited,INE28GN01010,EQ,544446,active
ADVENZYMES,ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020,EQ,540025,active
,ADVIK-RE,Advik Capital Limited,INE178T20024,,750807,suspended
,ADVIKCA,Advik Capital Limited,INE178T01024,,539773,active
,ADVIKCA-RE,Advik Capital Limited,INE178T20016,,750701,suspended
,ADVIKLA,Advik Laboratories Ltd.,INE537C01019,,531686,suspended
,ADVLIFE,Advance Lifestyles Ltd.,INE900E01015,,521048,active
,ADVMULT,Advance Multitech Ltd.,INE875S01019,,526331,active
,ADVNCMIC,Advanced Micronic Devices Ltd.,INE903C01013,,517552,delisted
,ADVPETR-B,Advance Petrochemicals Ltd.,INE334N01018,,506947,active
,ADVPOWER,Advance PowerInfra Tech Limited,INE009D01017,,531047,suspended
AEGISLOG,AEGISLOG,Aegis Logistics Ltd.,INE208C01025,EQ,500003,active
AEGISVOPAK,AEGISVOPAK,AEGIS VOPAK TERMINALS LIMITED,INE0INX01018,EQ,544407,active
,AEIM,Artificial Electronics Intelligent Material Limited,INE072B01027,,526443,active
,AEL,Amba Enterprises Ltd.,INE829P01020,,539196,active
,AEONIA,Aeonian Investments Co. Ltd.,INE421F01027,,503655,delisted
,AEONXDIGI,Aeonx Digital Technology Limited,INE994D01010,,524594,active
,AEPL,Artemis Electricals and Projects Limited,INE757T01025,,542670,active
AEQUS,AEQUS,Aequs Limited,INE947N01017,EQ,544634,active
AEROENTER,AEROENTER,AEROFLEX ENTERPRISES LIMITED,INE065D01027,EQ,511076,active
AEROFLEX,AEROFLEX,Aeroflex Industries Limited,INE024001021,EQ,543972,active
AERONEU,AERONEU,Aeroflex Neu Limited,INE035801013,EQ,543743,active
,AERPACE,Aerpace Industries Limited,INE175N01023,,534733,active
,AERPACE-RE,Aerpace Industries Limited,INE175N20015,,750812,suspended
,AESCURE,Aesculapius Remedies Ltd.,INE965E01018,,531786,delisted
AETHER,AETHER,Aether Industries Limited,INE0BWX01014,EQ,543534,active
,AFCOM,Afcom Holdings Limited,INE0OXY01013,,544224,active
AFCONS,AFCONS,Afcons Infrastructure Limited,INE101I01011,EQ,544280,active
,AFEL,A.F. Enterprises Limited,INE663P01015,,538351,suspended
,AFEL-RE,A.F. Enterprises Limited,INE663P20015,,750775,suspended
,AFEL-RE1,A.F. Enterprises Limited,INE663P20023,,750889,suspended
,AFELPP,A.F. Enterprises Limited,IN9663P01013,,890208,delisted
AFFLE,AFFLE,AFFLE 3I LIMITED,INE00WC01027,EQ,542752,active
,AFFORD-RE,Affordable Robotic & Automation Limited,INE692Z20013,,750831,suspended
